Address,Owner,Accessor number (date collected),Catalog # (day inventory),Object Name,3D Scanned,3D Printed,Scanned By,Date excavated (field bag date),Object dated to,Object Description,inorganic/organic,species,Material of manufactur,Form (object type),Quantity,Measurements (diameter/circumference) - length,Length (mm),Width (mm),Height (mm),Measurement Notes,weight (grams),Weight Notes,Sivilich Diameter (in),Deformation Index,Conservation & condition,Cataloger name,Date Catalogued on,Location in repository,PLAT/LOT,Found at Depth below surface (report UNIT. mm prefered),Longtitude,Latitude,Distance from Datum,Found in grid,Excavator,Notes,Image (add column for each additional image),Data entry double checked by,Questions/ concerns,Dr.Uhl Check,SOURCES FOR ID,Location,Storage Location,Uhl Flags
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,5/13/2021,2021-5-13-1,Tooth,,,,5/13/2021,Unknown,Tooth; partially broken,Organic,Unknown,Animal bone,Tooth,1,25.4,,,,,,,,,No conservation,L. McKinnon,6/23/2021,,,431.8,,,,S5W1,,,,,SPECIES UNKNOWN,,,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,6/23/2021,2021-6-23-2,Bone,,,,6/23/2021,Unknown,Bone; scratch marks,Organic,Unknown,Animal bone,Bone,1,,76.2,31.75,,,,,,,No conservation,M.Persico,6/23/2021,,,406.4,,,,S5E1,,,,,,,,Box 5 (Bone): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,5/18/2021,2021-5-18-20,Bone,,,,5/18/2021,Unknown,Bone with joint,Organic,,Animal bone,Bone,1,,68.58,,,,,,,,No conservation,M.Persico,6/24/2021,,,558.8,,,,S5W1,,Found in assocaition with 21,,,,,,Box 5 (Bone): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,5/18/2021,2021-5-18-21,Bone,,,,5/18/2021,Unknown,Bone; limb,Organic,,Animal bone,Bone,1,,83.82,,,,,,,,No conservation,M.Persico,6/24/2021,,,558.8,,,,S5W1,,Found in assocaition with 20,,,,,,Box 5 (Bone): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,6/7/2021,2021-6-7-23,Bone Fragment,,,,6/7/2021,Unknown,Bone Fragment,Organic,Unknown,Animal Bone,Bone,1,106.68,,,,,,,,,No conservation,G.Parenti,6/24/2021,,,660.4,,,,,,,,,,,,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,5/20/2021,2021-5-20-24,Bone,,,,5/20/2021,Unknown,Bone,Organic,Unknown,Animal Bone,Bone (antler?),1,,30.48,,,,,,,,No conservation,M.Persico,6/24/2021,,,584.2,,,,S5W1,,,,,Deer or elk antler?,,,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,5/24/2021,2021-5-24-27,Bone,,,,5/24/2021,Unknown,Thin width; no joint,Organic,Unknown,Animal Bone,Bone,1,88.9,,,,,,,,,No conservation,L. McKinnon,6/29/2021,,,457.2,,,,S4W3,,,,,SPECIES?,,,Box 5 (Bone): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,6/2/2021,2021-6-2-28,Bone,,,,6/2/2021,Unknown,Thin width; no joint,Organic,Unknown,Animal Bone,Bone,1,38.1,,,,,,,,,No conservation,L. McKinnon,6/29/2021,,,Unknown-found in bucket from last semester,,,,S4W1,,,,,SPECIES?,,,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,5/18/2021,2021-5-18-31,Tooth,,,,5/18/2021,Unknown,Half of a full tooth,Organic,Unknown,Animal Bone,Bone,1,25.4,,,,,,,,,No conservation,L. McKinnon,6/29/2021,,,482.6,,,,S5W2,,,,,SPECIES?,,,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,5/24/2021,2021-5-24-38,Bone,,,,5/24/2021,Unknown,Small; with joint,Organic,Unknown,Animal Bone,Bone,1,38.1,,,,,,,,,No conservation,L. McKinnon,6/29/2021,,,508,,,,S5W1,,,,,SPECIES?,,,Box 5 (Bone): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,5/19/2021,2021-5-19-42,Bone,,,,5/19/2021,Unknown,Three pieces of the same bone; jointed,Organic,Unknown,Animal Bone,Bone,3,57.15,,,,,,,,,No conservation,L. McKinnon,6/30/2021,,,431.8,,,,S4W3,,,,,SPECIES?,,,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,5/1/2021,2021-5-1-45,Bone,,,,5/1/2021,Unknown,Three pieces; wide,Organic,Unknown,Animal Bone,Bone,3,,88.9,50.8,,,,,,,No conservation,L. McKinnon,6/30/2021,,,457.2,,,,S3W2,,,,,,STERNUM?,,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,5/7/2021,2021-5-7-59,Bone,,,,5/7/2021,Unknown,Broken bone; joint,Organic,Unknown,Animal Bone,Bone,1,50.8,,,,,,,,,No conservation,L. McKinnon,7/5/2021,,,508,,,,52W3,,,,,,,,Box 5 (Bone): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,,2021-72,Bone,,,,,Unknown,Joint fragment,Organic,Unknown,Animal Bone,Bone,1,38.1,,,,,,,,,No conservation,L. McKinnon,7/6/2021,,,457.2,,,,S3W2,,,,,,,,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,5/15/2021,2021-5-15-154,Bone,,,,5/15/2021,Unknown,Large section of bone,Organic,Unknown,Animal Bone,Bone,1,,93.98,,,,,,,,No conservation,L. McKinnon,7/13/2021,,,508,,,,S3W2,,,,,,,,Box 5 (Bone): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,5/19/2021,2021-5-19-53,Coal- Carbon Ash,,,,5/19/2021,Unknown,Small; black,Inorganic,,Ash,Wood?,4,38.1,,,,1.5 inches maximum,,,,,No conservation,L. McKinnon,6/30/2021,,,381,,,,S4W3,,,,,,,,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,5/25/2022,2022-5-25-220,Bone,,,,5/25/2022,Unknown,Bone fragment,Organic,Unknown,Bone,Bone,1,16.54,,,,,,,,,No conservation,E. Lescault,,,,398,,,1705,S2W1,,,,,,,,Box 5 #2 (Bone): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,5/27/2022,2022-5-27-224,Deer Mandible,,,,5/27/2022,3.5 Years Old,Left mandible of white-tailed deer,Organic,Odocoileus virginianus,Bone,Left Mandible,1,135.17,,,,,47.658,,,,No conservation,M. Rodriguez,,,,375,,,2805,S2W4,,Molars fully erupt; some wear on M1 and M2; relatively sharp cusps with M3 relatively level ~ 3.5 years  old,DeerMandible_2022_NHS,,,,https://lgpress.clemson.edu/publication/a-key-for-aging-white-tailed-deer-using-the-tooth-replacement-and-wear-technique/,,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/22/2022,2022-7-22-517,Bone,,,,7/22/2022,Unknown,Rounded and thick mammal bone with some of the porus characteristic showing,Organic,Mammal,Bone,Bone,1,24.93,,,,,4.9,,,,No conservation,I. DeLisle,,,,478,,,2559,S3W3,,Probably should double check because this was more of a guess,,,,,https://drive.google.com/drive/folders/1nO-odEektFNv65Fzc9zdIf4z7z7r4hJW,Box 5 #2 (Bone): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/22/2022,2022-7-22-518-A,Bone,,,,7/22/2022,Unknown,One is more of a circle shape and is spongy; leading me to think that it is a mammal bone; the other one is retangular with less of the sponge showing; the sponge shows it to be a mammal bone,Organic,Mammal,Bone,Bone,1 of 2,11.36,,,,,0.3,,,,No conservation,I. DeLisle,,,,523,,,2815,S3W3,,Probably should double check because this was more of a guess,,,,,https://drive.google.com/drive/folders/1nO-odEektFNv65Fzc9zdIf4z7z7r4hJW,Box 5 #2 (Bone): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/22/2022,2022-7-22-518-B,Bone,,,,7/22/2022,Unknown,One is more of a circle shape and is spongy; leading me to think that it is a mammal bone; the other one is retangular with less of the sponge showing; the sponge shows it to be a mammal bone,Organic,Mammal,Bone,Bone,2 of 2,12.15,,,,,0.01,Approximately 0.01 g,,,No conservation,I. DeLisle,,,,523,,,2815,S3W3,,Probably should double check because this was more of a guess,,,,,https://drive.google.com/drive/folders/1nO-odEektFNv65Fzc9zdIf4z7z7r4hJW,Box 5 #2 (Bone): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/22/2022,2022-7-22-520-A,Bone,,,,7/22/2022,Unknown,Thick; rectangular; spongy bone piece with three oval holes one side,Organic,Mammal,Bone,Bone,1 of 5,28.74,,,,,3.6,,,,No conservation,I. DeLisle,,,,390,,,2487,S2W4,,Probably should double check because this was more of a guess,,,,,https://drive.google.com/drive/folders/1nO-odEektFNv65Fzc9zdIf4z7z7r4hJW,Box 5 #2 (Bone): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/22/2022,2022-7-22-520-B,Bone,,,,7/22/2022,Unknown,Spongy bone piece that is rounded and a crack in part of the bone,Organic,Mammal,Bone,Bone,2 of 5,26.89,,,,,3,,,,No conservation,I. DeLisle,,,,390,,,2487,S2W4,,Probably should double check because this was more of a guess,,,,,https://drive.google.com/drive/folders/1nO-odEektFNv65Fzc9zdIf4z7z7r4hJW,Box 5 #2 (Bone): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/22/2022,2022-7-22-520-C,Bone,,,,7/22/2022,Unknown,Spongy and thick almost triangular bone piece,Organic,Mammal,Bone,Bone,3 of 5,18.34,,,,,1.3,,,,No conservation,I. DeLisle,,,,390,,,2487,S2W4,,Probably should double check because this was more of a guess,,,,,https://drive.google.com/drive/folders/1nO-odEektFNv65Fzc9zdIf4z7z7r4hJW,Box 5 #2 (Bone): in Archives,,
